"Species","Method","Facility","Matrix","Extrapolation","Standards","QC_Deviation_(permil)","QC_95%_CI","m","b","m_95%_CI","b_95%_CI","Comments"
"C","One-Point","U.S. EPA","Matched","Extrapolated","IAEA600",0.332,0.057,1,0.166,NA,0.057,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","IAEA600",1.956,0.057,1,0.166,NA,0.057,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS40",0.502,0.027,1,0.053,NA,0.027,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS40",1.842,0.027,1,0.053,NA,0.027,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS61",-1.145,0.046,1,0.183,NA,0.046,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS61",1.972,0.046,1,0.183,NA,0.046,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS63",5.962,0.117,1,0.34,NA,0.117,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS63",2.129,0.117,1,0.34,NA,0.117,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS88",2.803,0.053,1,0.235,NA,0.053,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS88",2.024,0.053,1,0.235,NA,0.053,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS89",2.142,0.113,1,0.08,NA,0.113,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS89",1.869,0.113,1,0.08,NA,0.113,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS90",8.679,0.056,1,-0.375,NA,0.056,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS90",1.217,0.056,1,-0.375,NA,0.056,NA
"C","One-Point","U.S. EPA","Matched","Extrapolated","USGS91",-5.693,0.094,1,-0.218,NA,0.094,NA
"C","One-Point","U.S. EPA","Mixed","Extrapolated","USGS91",1.375,0.094,1,-0.218,NA,0.094,NA
"C","Two-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS40",-0.82,0.41,1.083,2.126,0.035,0.955,NA
"C","Two-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS40",-0.088,0.232,1.083,2.126,0.035,0.955,NA
"C","Two-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS61",-0.041,0.136,1.002,-0.105,0.008,0.245,NA
"C","Two-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS61",0.51,0.148,1.002,-0.105,0.008,0.245,NA
"C","Two-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS61",0.384,0.056,1.002,-0.105,0.008,0.245,NA
"C","Two-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS63",-0.064,0.117,0.993,-0.348,0.004,0.074,NA
"C","Two-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS63",0.092,0.091,0.993,-0.348,0.004,0.074,NA
"C","Two-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS63",0.383,0.101,0.993,-0.348,0.004,0.074,NA
"C","Two-Point","U.S. EPA","Mixed","Interpolated","IAEA600_USGS63",0.637,0.087,0.993,-0.348,0.004,0.074,NA
"C","Two-Point","U.S. EPA","Matched","Extrapolated","IAEA600_USGS88",-0.038,0.102,0.994,-0.329,0.005,0.116,NA
"C","Two-Point","U.S. EPA","Matched","Interpolated","IAEA600_USGS88",0.133,0.056,0.994,-0.329,0.005,0.116,NA
"C","Two-Point","U.S. EPA","Mixed","Extrapolated","IAEA600_USGS88",0.505,0.065,0.994,-0.329,0.005,0.116,NA
