"Name","Type","QC.matrix.1","QC.matrix.2","Species","isotope.expected","isotope.precision","Method","Facility","Normalization","Slope","slope.confi95","Intercept","intercept.confi95","isotope.max","isotope.min","isotope.range","standards","isotope.norm","isotope.SE","isotope.confi95","one.point.mean","isotope.deviation","deviation_significant","SRM.matrix.1","SRM.matrix.2","Matrix.1","Matrix.2","Extrapolation"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",93,0.995430690342106,0.0125444526838119,-0.0718871201825416,0.295440656809605,-1.42,-35.27,33.85,"USGS91_USGS90_USGS61_USGS63",-27.9935239592027,0.179278913930801,0.384515028023143,NA,-0.263523959202718,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",94,1.02562355913331,0.0117943392110065,0.722026308190545,0.32226163953284,-13.34,-35.27,21.93,"USGS91_USGS90_USGS61_IAEA600",-27.943514024199,0.0933336442458633,0.200180757713384,NA,-0.213514024199018,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",95,1.02412094930026,0.00899265856983433,0.713323656024351,0.24270831885006,-13.34,-35.27,21.93,"USGS91_USGS90_USGS61_USGS40",-27.9760156020638,0.0710293354062806,0.152342773031039,NA,-0.246015602063814,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",96,1.00958767249376,0.0162274451004569,0.266998954017208,0.403672741636821,-13.34,-35.27,21.93,"USGS91_USGS90_USGS61_USGS88",-27.9366514889686,0.150768400978442,0.323366059377217,NA,-0.20665148896865,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",97,1.01570745889847,0.0127901863321698,0.456376790430783,0.322684278644767,-13.34,-35.27,21.93,"USGS91_USGS90_USGS61_USGS89",-27.9547782598976,0.11247097132365,0.241226242072149,NA,-0.224778259897647,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",98,0.991309100611472,0.0144083025132813,-0.142861373407079,0.302157485566261,-1.42,-28.11,26.69,"USGS91_USGS90_USGS63_IAEA600",-28.0383168170738,0.1834640613813,0.393491276561947,NA,-0.308316817073781,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",99,0.987299862190833,0.0125280169825349,-0.170950647534995,0.25725344856724,-1.42,-28.11,26.69,"USGS91_USGS90_USGS63_USGS40",-28.1237245296992,0.157640349007242,0.338104922029449,NA,-0.393724529699238,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",100,0.981425110724208,0.0145766436958229,-0.27081198462085,0.257486560220842,-1.42,-28.11,26.69,"USGS91_USGS90_USGS63_USGS88",-28.1903200896943,0.175410323766136,0.37621772733696,NA,-0.460320089694346,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",101,0.981999225454288,0.0128818851012115,-0.232871875722126,0.233912359582986,-1.42,-28.11,26.69,"USGS91_USGS90_USGS63_USGS89",-28.212474517443,0.154617931772681,0.33162248177943,NA,-0.482474517443009,TRUE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",102,1.02674658317965,0.0157920838601253,0.726045993180773,0.391169462961517,-13.34,-28.11,14.77,"USGS91_USGS90_IAEA600_USGS40",-27.9168652350563,0.0998317657562144,0.214117842225257,NA,-0.18686523505632,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",103,1.00825076406315,0.0227209157725173,0.214520142974832,0.510045011021631,-13.34,-28.11,14.77,"USGS91_USGS90_IAEA600_USGS88",-27.9216452358787,0.169370579975489,0.363263765256346,NA,-0.191645235878685,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",104,1.01673347759536,0.0194552258473651,0.443926336464057,0.44433694650806,-13.34,-28.11,14.77,"USGS91_USGS90_IAEA600_USGS89",-27.9143226439125,0.1351386178288,0.289843508542823,NA,-0.184322643912463,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",105,1.00184969080077,0.0216472725800958,0.115315469712308,0.477121872395781,-13.34,-28.11,14.77,"USGS91_USGS90_USGS40_USGS88",-28.0010222364693,0.158024978692725,0.33892987065865,NA,-0.271022236469282,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",106,1.01049376957326,0.0177980259019486,0.342058939141306,0.399361477240132,-13.34,-28.11,14.77,"USGS91_USGS90_USGS40_USGS89",-27.9858815468839,0.120924992514298,0.259358314181226,NA,-0.255881546883884,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",107,0.993541139016798,0.0249570182854969,-0.0536985960349329,0.495294868459852,-13.34,-28.11,14.77,"USGS91_USGS90_USGS88_USGS89",-28.065069788211,0.1795449871861,0.38508569839912,NA,-0.335069788210998,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",108,0.991935188047402,0.00821902859526857,-0.314079401597022,0.217400014304871,-1.42,-35.27,33.85,"USGS91_USGS61_USGS63_IAEA600",-27.8480095587484,0.11348601309651,0.243403290154259,NA,-0.11800955874843,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",109,0.990777594144796,0.00767023140934819,-0.298931117044866,0.200237921035397,-1.42,-35.27,33.85,"USGS91_USGS61_USGS63_USGS40",-27.8958356005333,0.105406374900481,0.226074189708224,NA,-0.165835600533285,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",110,0.990289854527685,0.00782517830153984,-0.330562329812438,0.187132778868572,-1.42,-35.27,33.85,"USGS91_USGS61_USGS63_USGS88",-27.8776335473563,0.109986398934585,0.235897364286915,NA,-0.147633547356293,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","QC","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",111,0.991005165471358,0.00790527736313484,-0.282060794275415,0.191950434891816,-1.42,-35.27,33.85,"USGS91_USGS61_USGS63_USGS89",-27.9064531339457,0.109500241780406,0.234854660894395,NA,-0.176453133945717,FALSE,"Mixed","Mixed","Mixed / Compound","Mixed / High Organic","Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",112,1.01729470777333,0.0276469457437503,0.451565856994451,0.817064999263501,-26.42,-35.27,8.85,"USGS91_USGS61_IAEA600_USGS40",-27.9064322659584,0.0968290954325902,0.207677754886942,NA,-0.176432265958422,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
"IAEA600","SRM","Compound","High Organic","C",-27.73,0.07,"four.point","U.S. EPA",113,0.993891307588926,0.0154495867090098,-0.265465782768559,0.426974800054939,-16.26,-35.27,19.01,"USGS91_USGS61_IAEA600_USGS88",-27.8421131223703,0.110916096628352,0.237891367524294,NA,-0.112113122370328,FALSE,"Mixed","Mixed",NA,NA,"Interpolated"
