"IRMS.ID","Name","Weight.mg","Species","Facility","Type","Matrix","isotope.raw","isotope.expected","isotope.precision"
"2","CSI Blue Grama",2.875,"C","UNM CSI","Linearity","Plant",-12.19,-13.4,NA
"13","CSI Blue Grama",1.04,"C","UNM CSI","Linearity","Plant",-12.302,-13.4,NA
"14","CSI Blue Grama",0.492,"C","UNM CSI","Linearity","Plant",-12.27,-13.4,NA
"15","CSI Blue Grama",2.435,"C","UNM CSI","Linearity","Plant",-12.26,-13.4,NA
"16","CSI Blue Grama",3.484,"C","UNM CSI","Linearity","Plant",-12.188,-13.4,NA
"17","CSI Blue Grama",1.52,"C","UNM CSI","Linearity","Plant",-12.191,-13.4,NA
"18","CSI Blue Grama",2.106,"C","UNM CSI","Linearity","Plant",-12.314,-13.4,NA
"19","CSI Blue Grama",3.046,"C","UNM CSI","Linearity","Plant",-12.221,-13.4,NA
"20","CSI Blue Grama",4.593,"C","UNM CSI","Linearity","Plant",-12.142,-13.4,NA
"21","CSI Blue Grama",4.084,"C","UNM CSI","Linearity","Plant",-12.149,-13.4,NA
"22","CSI Blue Grama",5.122,"C","UNM CSI","Linearity","Plant",-12.113,-13.4,NA
"1","CSI Blue Grama semi micro loop",2.113,"C","UNM CSI",NA,NA,-12.141,NA,NA
"26","CSI Casein",0.087,"C","UNM CSI","Linearity","High Organic",-25.384,-26.52,NA
"27","CSI Casein",0.409,"C","UNM CSI","Linearity","High Organic",-25.509,-26.52,NA
"28","CSI Casein",0.231,"C","UNM CSI","Linearity","High Organic",-25.556,-26.52,NA
"29","CSI Casein",0.291,"C","UNM CSI","Linearity","High Organic",-25.629,-26.52,NA
"30","CSI Casein",0.515,"C","UNM CSI","Linearity","High Organic",-25.585,-26.52,NA
"31","CSI Casein",0.702,"C","UNM CSI","Linearity","High Organic",-25.556,-26.52,NA
"32","CSI Casein",0.627,"C","UNM CSI","Linearity","High Organic",-25.549,-26.52,NA
"33","CSI Casein",1.019,"C","UNM CSI","Linearity","High Organic",-25.543,-26.52,NA
"34","CSI Casein",0.927,"C","UNM CSI","Linearity","High Organic",-25.564,-26.52,NA
"35","CSI Casein",0.863,"C","UNM CSI","Linearity","High Organic",-25.603,-26.52,NA
"23","CSI Casein micro loop",0.32,"C","UNM CSI",NA,NA,-25.478,NA,NA
"38","IAEA600",0.179,"C","UNM CSI","Normalization","High Organic",-26.694,-27.77,0.04
"44","IAEA600",0.2,"C","UNM CSI","Normalization","High Organic",-26.758,-27.77,0.04
"50","IAEA600",0.188,"C","UNM CSI","Normalization","High Organic",-26.731,-27.77,0.04
"56","IAEA600",0.185,"C","UNM CSI","Normalization","High Organic",-26.631,-27.77,0.04
"39","USGS40",0.501,"C","UNM CSI","Normalization","High Organic",-25.242,-26.39,0.08
"45","USGS40",0.543,"C","UNM CSI","Normalization","High Organic",-25.292,-26.39,0.08
"51","USGS40",0.526,"C","UNM CSI","Normalization","High Organic",-25.324,-26.39,0.08
"57","USGS40",0.604,"C","UNM CSI","Normalization","High Organic",-25.397,-26.39,0.08
"36","USGS61",0.216,"C","UNM CSI","Normalization","High Organic",-33.902,-35.05,0.04
"42","USGS61",0.22,"C","UNM CSI","Normalization","High Organic",-33.921,-35.05,0.04
"48","USGS61",0.17,"C","UNM CSI","Normalization","High Organic",-33.959,-35.05,0.04
"54","USGS61",0.224,"C","UNM CSI","Normalization","High Organic",-33.944,-35.05,0.04
"37","USGS63",0.173,"C","UNM CSI","Normalization","High Organic",-0.451,-1.17,0.04
"43","USGS63",0.187,"C","UNM CSI","Normalization","High Organic",-0.465,-1.17,0.04
"49","USGS63",0.155,"C","UNM CSI","Normalization","High Organic",-0.519,-1.17,0.04
"55","USGS63",0.2,"C","UNM CSI","Normalization","High Organic",-0.5,-1.17,0.04
"40","USGS88",0.323,"C","UNM CSI","Normalization","High Organic",-15.08,-16.06,0.07
"46","USGS88",0.299,"C","UNM CSI","Normalization","High Organic",-15.174,-16.06,0.07
"52","USGS88",0.269,"C","UNM CSI","Normalization","High Organic",-15.166,-16.06,0.07
"58","USGS88",0.321,"C","UNM CSI","Normalization","High Organic",-15.22,-16.06,0.07
"41","USGS89",0.33,"C","UNM CSI","Normalization","High Organic",-16.783,-18.13,0.11
"47","USGS89",0.318,"C","UNM CSI","Normalization","High Organic",-17.166,-18.13,0.11
"53","USGS89",0.352,"C","UNM CSI","Normalization","High Organic",-17.256,-18.13,0.11
"59","USGS89",0.368,"C","UNM CSI","Normalization","High Organic",-17.189,-18.13,0.11
"6","USGS90",3.333,"C","UNM CSI","Normalization","Plant",-12.51,-13.75,0.06
"8","USGS90",3.051,"C","UNM CSI","Normalization","Plant",-12.594,-13.75,0.06
"10","USGS90",3.157,"C","UNM CSI","Normalization","Plant",-12.529,-13.75,0.06
"12","USGS90",3.143,"C","UNM CSI","Normalization","Plant",-12.662,-13.75,0.06
"5","USGS91",3.102,"C","UNM CSI","Normalization","Plant",-27.044,-28.28,0.08
"7","USGS91",3.201,"C","UNM CSI","Normalization","Plant",-27.071,-28.28,0.08
"9","USGS91",3.232,"C","UNM CSI","Normalization","Plant",-27.089,-28.28,0.08
"11","USGS91",3.194,"C","UNM CSI","Normalization","Plant",-27.133,-28.28,0.08
"20799","CSI Blue Grama",0.544,"C","U.S. EPA","Linearity","Plant",-13.2,-13.4,NA
"20803","CSI Blue Grama",1.039,"C","U.S. EPA","Linearity","Plant",-13.4,-13.4,NA
"20807","CSI Blue Grama",1.508,"C","U.S. EPA","Linearity","Plant",-13.3,-13.4,NA
"20806","CSI Blue Grama",1.964,"C","U.S. EPA","Linearity","Plant",-13.2,-13.4,NA
"20802","CSI Blue Grama",2.494,"C","U.S. EPA","Linearity","Plant",-13.3,-13.4,NA
"20800","CSI Blue Grama",2.95,"C","U.S. EPA","Linearity","Plant",-13.3,-13.4,NA
"20804","CSI Blue Grama",3.566,"C","U.S. EPA","Linearity","Plant",-13.1,-13.4,NA
"20808","CSI Blue Grama",4.074,"C","U.S. EPA","Linearity","Plant",-13.2,-13.4,NA
"20805","CSI Blue Grama",4.516,"C","U.S. EPA","Linearity","Plant",-13.3,-13.4,NA
"20801","CSI Blue Grama",4.986,"C","U.S. EPA","Linearity","Plant",-13.3,-13.4,NA
"20809","CSI Casein",0.099,"C","U.S. EPA","Linearity","High Organic",-27,-26.52,NA
"20834","CSI Casein",0.21,"C","U.S. EPA","Linearity","High Organic",-26.9,-26.52,NA
"20836","CSI Casein",0.309,"C","U.S. EPA","Linearity","High Organic",-26.9,-26.52,NA
