"IRMS.ID","Name","Species","Facility","Type","Matrix.1","Matrix.2","isotope.raw","isotope.expected"
"2","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.19,-13.4
"13","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.302,-13.4
"14","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.27,-13.4
"15","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.26,-13.4
"16","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.188,-13.4
"17","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.191,-13.4
"18","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.314,-13.4
"19","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.221,-13.4
"20","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.142,-13.4
"21","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.149,-13.4
"22","CSI Blue Grama","C","UNM CSI","Linearity","Plant","Plant",-12.113,-13.4
"1","CSI Blue Grama semi micro loop","C","UNM CSI",NA,NA,NA,-12.141,NA
"26","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.384,-26.52
"27","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.509,-26.52
"28","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.556,-26.52
"29","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.629,-26.52
"30","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.585,-26.52
"31","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.556,-26.52
"32","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.549,-26.52
"33","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.543,-26.52
"34","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.564,-26.52
"35","CSI Casein","C","UNM CSI","Linearity","High Organic","High Organic",-25.603,-26.52
"23","CSI Casein micro loop","C","UNM CSI",NA,NA,NA,-25.478,NA
"38","IAEA600","C","UNM CSI","Normalization","Compound","High Organic",-26.694,-27.77
"44","IAEA600","C","UNM CSI","Normalization","Compound","High Organic",-26.758,-27.77
"50","IAEA600","C","UNM CSI","Normalization","Compound","High Organic",-26.731,-27.77
"56","IAEA600","C","UNM CSI","Normalization","Compound","High Organic",-26.631,-27.77
"39","USGS40","C","UNM CSI","Normalization","Compound","High Organic",-25.242,-26.39
"45","USGS40","C","UNM CSI","Normalization","Compound","High Organic",-25.292,-26.39
"51","USGS40","C","UNM CSI","Normalization","Compound","High Organic",-25.324,-26.39
"57","USGS40","C","UNM CSI","Normalization","Compound","High Organic",-25.397,-26.39
"36","USGS61","C","UNM CSI","Normalization","Compound","High Organic",-33.902,-35.05
"42","USGS61","C","UNM CSI","Normalization","Compound","High Organic",-33.921,-35.05
"48","USGS61","C","UNM CSI","Normalization","Compound","High Organic",-33.959,-35.05
"54","USGS61","C","UNM CSI","Normalization","Compound","High Organic",-33.944,-35.05
"37","USGS63","C","UNM CSI","Normalization","Compound","High Organic",-0.451,-1.17
"43","USGS63","C","UNM CSI","Normalization","Compound","High Organic",-0.465,-1.17
"49","USGS63","C","UNM CSI","Normalization","Compound","High Organic",-0.519,-1.17
"55","USGS63","C","UNM CSI","Normalization","Compound","High Organic",-0.5,-1.17
"40","USGS88","C","UNM CSI","Normalization","Macromolecule","High Organic",-15.08,-16.06
"46","USGS88","C","UNM CSI","Normalization","Macromolecule","High Organic",-15.174,-16.06
"52","USGS88","C","UNM CSI","Normalization","Macromolecule","High Organic",-15.166,-16.06
"58","USGS88","C","UNM CSI","Normalization","Macromolecule","High Organic",-15.22,-16.06
"41","USGS89","C","UNM CSI","Normalization","Macromolecule","High Organic",-16.783,-18.13
"47","USGS89","C","UNM CSI","Normalization","Macromolecule","High Organic",-17.166,-18.13
"53","USGS89","C","UNM CSI","Normalization","Macromolecule","High Organic",-17.256,-18.13
"59","USGS89","C","UNM CSI","Normalization","Macromolecule","High Organic",-17.189,-18.13
"6","USGS90","C","UNM CSI","Normalization","Plant","Plant",-12.51,-13.75
"8","USGS90","C","UNM CSI","Normalization","Plant","Plant",-12.594,-13.75
"10","USGS90","C","UNM CSI","Normalization","Plant","Plant",-12.529,-13.75
"12","USGS90","C","UNM CSI","Normalization","Plant","Plant",-12.662,-13.75
"5","USGS91","C","UNM CSI","Normalization","Plant","Plant",-27.044,-28.28
"7","USGS91","C","UNM CSI","Normalization","Plant","Plant",-27.071,-28.28
"9","USGS91","C","UNM CSI","Normalization","Plant","Plant",-27.089,-28.28
"11","USGS91","C","UNM CSI","Normalization","Plant","Plant",-27.133,-28.28
"20799","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.23,-13.4
"20803","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.35,-13.4
"20807","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.29,-13.4
"20806","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.21,-13.4
"20802","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.28,-13.4
"20800","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.27,-13.4
"20804","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.11,-13.4
"20808","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.24,-13.4
"20805","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.29,-13.4
"20801","CSI Blue Grama","C","U.S. EPA","Linearity","Plant","Plant",-13.31,-13.4
"20809","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.03,-26.52
"20834","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-26.9,-26.52
"20836","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-26.89,-26.52
"20838","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-26.96,-26.52
"20840","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-26.98,-26.52
"20841","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.02,-26.52
"20839","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.16,-26.52
"20837","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.34,-26.52
"20835","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.51,-26.52
"20833","CSI Casein","C","U.S. EPA","Linearity","High Organic","High Organic",-27.83,-26.52
"20810","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.83,-27.71
"20812","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.68,-27.71
"20814","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.84,-27.71
"20816","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.74,-27.71
"20818","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.91,-27.71
"20819","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.67,-27.71
"20817","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.71,-27.71
"20815","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.79,-27.71
"20813","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.78,-27.71
"20811","CSI Chile","C","U.S. EPA","Linearity","Plant","Plant",-27.84,-27.71
"20822","CSI Soil","C","U.S. EPA","Linearity","Soil","Soil",-24.95,-24.8
