"IRMS.ID","Name","Weight.mg","Facility","Type","Matrix","isotope.raw_C","isotope.raw_N","isotope.expected_C","isotope.expected_N","isotope.precision_C","isotope.precision_N"
"2","CSI Blue Grama",2.875,"UNM CSI","Linearity","Plant",-12.19,1.511,-13.4,1.6,NA,NA
"13","CSI Blue Grama",1.04,"UNM CSI","Linearity","Plant",-12.302,0.951,-13.4,1.6,NA,NA
"14","CSI Blue Grama",0.492,"UNM CSI","Linearity","Plant",-12.27,0.526,-13.4,1.6,NA,NA
"15","CSI Blue Grama",2.435,"UNM CSI","Linearity","Plant",-12.26,1.303,-13.4,1.6,NA,NA
"16","CSI Blue Grama",3.484,"UNM CSI","Linearity","Plant",-12.188,1.451,-13.4,1.6,NA,NA
"17","CSI Blue Grama",1.52,"UNM CSI","Linearity","Plant",-12.191,1.213,-13.4,1.6,NA,NA
"18","CSI Blue Grama",2.106,"UNM CSI","Linearity","Plant",-12.314,1.392,-13.4,1.6,NA,NA
"19","CSI Blue Grama",3.046,"UNM CSI","Linearity","Plant",-12.221,1.513,-13.4,1.6,NA,NA
"20","CSI Blue Grama",4.593,"UNM CSI","Linearity","Plant",-12.142,1.552,-13.4,1.6,NA,NA
"21","CSI Blue Grama",4.084,"UNM CSI","Linearity","Plant",-12.149,1.566,-13.4,1.6,NA,NA
"22","CSI Blue Grama",5.122,"UNM CSI","Linearity","Plant",-12.113,1.468,-13.4,1.6,NA,NA
"26","CSI Casein",0.087,"UNM CSI","Linearity","High Organic",-25.384,4.838,-26.52,6.43,NA,NA
"27","CSI Casein",0.409,"UNM CSI","Linearity","High Organic",-25.509,6.524,-26.52,6.43,NA,NA
"28","CSI Casein",0.231,"UNM CSI","Linearity","High Organic",-25.556,6.18,-26.52,6.43,NA,NA
"29","CSI Casein",0.291,"UNM CSI","Linearity","High Organic",-25.629,6.164,-26.52,6.43,NA,NA
"30","CSI Casein",0.515,"UNM CSI","Linearity","High Organic",-25.585,6.477,-26.52,6.43,NA,NA
"31","CSI Casein",0.702,"UNM CSI","Linearity","High Organic",-25.556,6.441,-26.52,6.43,NA,NA
"32","CSI Casein",0.627,"UNM CSI","Linearity","High Organic",-25.549,6.429,-26.52,6.43,NA,NA
"33","CSI Casein",1.019,"UNM CSI","Linearity","High Organic",-25.543,6.515,-26.52,6.43,NA,NA
"34","CSI Casein",0.927,"UNM CSI","Linearity","High Organic",-25.564,6.465,-26.52,6.43,NA,NA
"35","CSI Casein",0.863,"UNM CSI","Linearity","High Organic",-25.603,6.537,-26.52,6.43,NA,NA
