sample.id,numerical,weight.mg,dilution,tray1.position,IRMS.position,IRMS.id,N.height.nA,N.pct,d15N.permil,C.height.nA,C.pct,d13C.permil
Blue Grama,1,0.544,9,A1,A1,20799,1.5,3.3914,1.7,2.7,42.3658,-13.23
Blue Grama,2,1.039,9,A2,A3,20803,2.8,3.1823,1.71,4.9,43.3717,-13.35
Blue Grama,3,1.508,9,A3,A5,20807,4.2,3.1495,1.59,7,43.3726,-13.29
Blue Grama,4,1.964,9,A4,A7,20806,5.2,3.1178,1.95,8.7,43.2011,-13.21
Blue Grama,5,2.494,9,A5,A9,20802,7.1,3.1745,2.06,10.7,43.0052,-13.28
Blue Grama,6,2.95,9,A6,A10,20800,8.6,3.1801,1.95,12.1,42.8605,-13.27
Blue Grama,7,3.566,9,A7,A8,20804,NA,3.1876,#N/A,13.1,42.6926,-13.11
Blue Grama,8,4.074,9,A8,A6,20808,12.3,3.2333,2.01,16.4,42.5145,-13.24
Blue Grama,9,4.516,9,A9,A4,20805,12.1,3.1827,2,16.5,42.4172,-13.29
Blue Grama,10,4.986,9,A10,A2,20801,14.9,3.2101,1.98,18.4,42.2202,-13.31
Casein,11,0.099,48.5,A11,C7,20809,1.2,14.7172,5.67,0.4,51.403,-27.03
Casein,12,0.21,48.5,A12,C9,20834,2.7,14.3926,5.87,6.9,50.7581,-26.9
Casein,13,0.309,48.5,B1,C11,20836,4.1,14.3319,6.13,10,50.4627,-26.89
Casein,14,0.394,48.5,B2,D1,20838,5.4,14.4865,6.4,12.7,49.4742,-26.96
Casein,15,0.514,48.5,B3,D3,20840,7.2,14.2803,6.5,16,48.7673,-26.98
Casein,16,0.603,48.5,B4,D4,20841,8.4,14.3169,6.45,19.1,48.7817,-27.02
Casein,17,0.696,48.5,B5,D2,20839,9.7,14.2649,6.59,21.8,48.6512,-27.16
Casein,18,0.805,48.5,B6,C12,20837,11.3,14.2694,6.61,24.9,48.4776,-27.34
Casein,19,0.898,48.5,B7,C10,20835,12.6,14.2315,6.6,27,48.6706,-27.51
Casein,20,1.001,48.5,B8,C8,20833,14,14.3148,6.56,30.2,48.8528,-27.83
CSI Soil,21,4.044,10,B9,B9,20822,1.3,0.386,5.23,2.4,4.8665,-24.95
CSI Soil,22,7.614,10,B10,B11,20824,2.6,0.3927,5.97,4.6,4.9751,-25.02
CSI Soil,23,11.19,10,B11,C1,20826,4.1,0.3953,6.28,6.6,5.0192,-24.99
CSI Soil,24,14.745,10,B12,C3,20828,5.4,0.3877,6.45,8.3,4.9646,-24.98
CSI Soil,25,19.206,10,C1,C5,20830,7,0.3818,6.45,10,4.8779,-25
CSI Soil,26,23.941,10,C2,C6,20831,8.8,0.3857,6.64,12.4,4.864,-24.93
CSI Soil,27,28.093,10,C3,C4,20829,10.2,0.383,6.64,14.1,4.8863,-24.9
CSI Soil,28,32.071,10,C4,C2,20827,11.8,0.3811,6.64,15.5,4.7984,-24.96
CSI Soil,29,35.975,10,C5,B12,20825,13.2,0.3869,6.74,16.7,4.8337,-24.92
CSI Soil,30,40.217,10,C6,B10,20823,14.8,0.3911,6.69,18.1,4.8845,-24.9
Green Chile Powder,31,0.49,6,C7,A11,20810,1,2.686,0.89,1.5,42.254,-27.83
Green Chile Powder,32,1.207,6,C8,B1,20812,2.6,2.4084,2.03,3.5,41.1093,-27.68
Green Chile Powder,33,1.963,6,C9,B3,20814,4.1,2.2866,2.3,5.5,41.4241,-27.84
Green Chile Powder,34,2.576,6,C10,B5,20816,5.3,2.2695,2.31,6.7,41.1052,-27.74
Green Chile Powder,35,3.426,6,C11,B7,20818,7.2,2.2712,2.56,8.3,41.242,-27.91
Green Chile Powder,36,4.156,6,C12,B8,20819,8.7,2.3384,2.57,9.6,40.822,-27.67
Green Chile Powder,37,4.788,6,D1,B6,20817,10.3,2.3417,2.59,10.5,40.6641,-27.71
Green Chile Powder,38,5.595,6,D2,B4,20815,11.5,2.3106,2.41,11.9,40.639,-27.79
Green Chile Powder,39,6.194,6,D3,B2,20813,13.1,2.288,2.62,13.1,40.4237,-27.78
Green Chile Powder,40,7.051,6,D4,A12,20811,14.7,2.2961,2.46,14.9,40.0065,-27.84
Tuna Muscle,41,0.098,48.5,D5,D5,20842,1.2,15.315,11.82,3,47.3447,-16.8
Tuna Muscle,42,0.206,48.5,D6,D7,20849,2.8,14.8962,12.81,6.4,47.2265,-16.76
Tuna Muscle,43,0.311,48.5,D7,D9,20851,4.5,15.2717,13.03,9.7,47.1877,-16.65
